CRM_ObjectID,Model,SerialNumber,JT_EquipID,SoldToID,SoldToName,AddContactID,AddContactName,Address1,Address2,City,Province,PostalCode,ServiceOrgID,ServiceOrg,PrimaryTechID,BackupTechID,AccountMgrID,AccountMgr,EquipNotes,Inactive,NoContract,NoPM
200000034,MXM450N,75069179R,83760,628116,FPI COMINAR,41022805,PFI COMINAR,"9 PLACE DU COMMERCE, ""D""",,BROSSARD,QC,J4W 2V6,61000174,SD Montreal,93000183,93000046,,,,0,0,0
200000046,MXM453N,05031090,83586,629125,RENIN CORP.,41022859,RENIN CORP.,110 WALKER DR.,,BRAMPTON,ON,L6T 4H6,61000193,GTA West,93000361,93000673,,,,0,0,0
200000049,MXM453N,05023141,VR-MF-051,245118,WESTERN NOVA SCOTIA DHA,41022884,WESTERN NOVA SCOTIA,150 EXHIBITION ST,VR LABORATORY,KENTVILLE,NS,B4N 5E3,61000184,Dealers,,,,,,0,0,0
200000052,MXB401,9212184Y,YR-MF-220,245118,WESTERN NOVA SCOTIA DHA,41022892,WESTERN NOVA SCOTIA DHA,60 VANCOUVER ST.,DHA 2 YR WELLNESS CENTRE,YARMOUTH,NS,B4A 2P5,61000184,Dealers,,,,,,0,0,0
200000053,MXC311,92121595,YR-MF-262,245118,WESTERN NOVA SCOTIA DHA,41022893,WESTERN NOVA SCOTIA DHA,60 VANCOUVER ST.,DHA2 YR TELEHEALTH,YARMOUTH,NS,B4A 2P5,61000184,Dealers,,,,,,0,0,0
200000055,MXM283N,9500835Y,DG-MF-155,245118,WESTERN NOVA SCOTIA DHA,41022895,WESTERN NOVA SCOTIA DHA,75 WARWICK ST.,DG REGISTRATION,DIGBY,NS,B0V 1A0,61000184,Dealers,,,,,,0,0,0
200000057,MX3100N,95031072,DA-MF-090,245118,WESTERN NOVA SCOTIA DHA,41022898,WESTERN NOVA SCOTIA DHA,90 GLEN ALLAN DR,SS MENTAL HEALTH,BRIDGEWATER,NS,B4V 3S6,61000184,Dealers,,,,,,0,0,0
200000058,MX4101N,95004077,FM-MF-004,245118,WESTERN NOVA SCOTIA DHA,41022899,WESTERN NOVA SCOTIA DHA,14 HIGH STREET,FM PALLIATIVE CARE,LUNENBURG,NS,B0J 2C0,61000184,Dealers,,,,,,0,0,0
200000063,MX3100N,15026341,83247,624676,MC NALLY CONSTRUCTION INC.,41022911,MC NALLY CONSTRUCTION INC.,116A AVENUE,,SURREY,BC,V3R 2T6,61000184,Dealers,,,,,,0,0,0
200000081,MX2600N,0502409X,SD84203,639618,MACRO PROPERTIES,41022939,MACRO PROPERTIES,1000 -201 21ST STEET EAST,,SASKATOON,SK,S7K 0B8,61000184,Dealers,,,THERIAULTK,KEVIN THERIAULT,,0,0,0
200000093,MX4101N,15080092,84677,639716,INSTITUT NATIONAL DE LA,41022954,INSTITUT NATIONAL DE LA RECHERCHE,1650 LIONEL - BOULET,,VARENNES,QC,J3X 1S2,61000174,SD Montreal,93000213,93000183,,,,0,0,0
200000095,MX3100N,95006750,YR-MF-118,245118,WESTERN NOVA SCOTIA DHA,41022956,WESTERN NOVA SCOTIA DHA,60 VANCOUVER ST,DHA 2 YRH BLD A L1- Main Floor - Library,YARMOUTH,NS,B4A 2P5,61000184,Dealers,,,,,,0,0,0
200000152,MXB401,02117973,2117973,642131,LE GROUPE P.F. BRISSON PEINTURE INC.,41023027,GROUPE P.F BRISSON PEINTURE INC.,55 ADRIEN-ROBERT,,GATINEAU,QC,J8Y 3S3,61000175,SD Ottawa,93000216,93000217,,,,0,0,0
200000164,MXM550N,75001071,75001071,642107,ECOLE SECONDAIRE MONT-BLEU,41023037,ECOLE SECONDAIRE MONT-BLEU,389 BOUL. DE LA CITE-DES-JEUNES,,GATINEAU,QC,J8Z 1W6,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000165,MXC311,92121315,92121315,642096,INNOBEC TECHNOLOGIES INC.,41023040,INNOBEC TECHNOLOGIES INC.,60 PROMENADE DU PORTAGE,DANS EGLISE,GATINEAU,QC,J8X 2K1,61000175,SD Ottawa,93000216,93000045,,,,0,0,0
200000172,MX4101N,85066370,85066370,642232,STO,41023048,SOCIETE DE TRANSPORT DE L'OUTAOUAIS,111 RUE JEAN PROULX,ENTRETIENT,GATINEAU,QC,J8Z 1T4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000176,MX4101N,85065180,85065180,642232,STO,41023053,SOCIETE DE TRANSPORT DE L'OUTAOUAIS,111 RUE JEAN PROULX,,GATINEAU,QC,J8Z 1T4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000180,ARM355U,65004573,65004573,671272,3354709 CANADA INC.,41023057,3354709 CANADA INC O/A SLBL DEMENAGEMENT,71A RUE JEAN-PROULX,,GATINEAU,QC,J8Z 1W2,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000181,MX5001N,95073556,95073556,642185,MUNICIPALITE DE L'ANGE-GARDIEN,41023058,MUNICIPALITE DE L'ANGE-GARDIEN,1177 ROUTE 315,,L'ANGE-GARDIEN,QC,J8L 0L4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000192,MXB401,92119888,92119888,642208,"POIRIER & BOIVIN,",41023068,POIRIER & BOIVIN,38 BOUL. MONTCLAIR,,GATINEAU,QC,J8Y 2E6,61000175,SD Ottawa,93000217,93000216,RIVARDN,NORMAND RIVARD,,0,0,0
200000204,MXM503N,95026568,95026568,642186,MUNICIPALITE VAL DES MONTS,41023079,MUNICIPALITE VAL DES MONTS,1 RTE DU CARREFOUR,,VAL DES MONTS,QC,J8N 4E9,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000207,MX2600N,050721670,50721670,642167,MARCEL LANDRY ARCHITECTE,41023081,MARCEL LANDRY ARCHITECTE,77 RUE LAURIER,,GATINEAU,QC,J8X 3V7,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000209,MX4101N,05065339,50653391,642065,CENTRE DES AINES DE GATINEAU INC.,41023083,CTR.E COMMUNAUTAIRE DES AINES,209 RUE VIANNEY,,GATINEAU,QC,J8P 0E5,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000213,MXC311,92114467,92114467,695765,STEAMATIC CANADA INC.,41023086,STEAMATIC CANADA INC.,100 RUE RICHARD,,GATINEAU,QC,J8Y 4Z2,61000175,SD Ottawa,93000217,93000216,RIVARDN,NORMAND RIVARD,,0,0,0
200000222,MX6201N,95002845,95002845,642044,BEAUDRY BERTRAND,41023094,BEAUDRY BERTRAND,160  BL DE L'HOPITAL SUITE 107,,GATINEAU,QC,J8T 8J1,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000226,ARM237,65013388,65013388,642209,POLANE INC.,41023098,POLANE INC.,621 RUE VERNON,,GATINEAU,QC,J9J 3K4,61000175,SD Ottawa,93000217,93000216,RIVARDN,NORMAND RIVARD,,0,0,0
200000228,MXM363N,95010595,95010595,642209,POLANE INC.,41023100,POLANE INC.,621 RUE VERNON,,GATINEAU,QC,J9J 3K4,61000175,SD Ottawa,93000217,93000217,RIVARDN,NORMAND RIVARD,,0,0,0
200000240,MXM363N,95009785,95009785,642048,BOLESS INC.,41023114,BOLESS INC.,15 RUE BUTEAU # 220,,GATINEAU,QC,J8Z 1V4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000241,MXC401,8002811Y,8002811Y,642182,MULTI LUMINAIRE,41023117,MULTI LUMINAIRE,530 BL DE LA GAPPE,,GATINEAU,QC,J8T 8A8,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000246,MXC401,92113413,92113413,642060,CENTRALE IMMOBILIERE INC.,41023121,CENTRALE IMMOBILIERE INC,233 BOUL MALONEY EST,,GATINEAU,QC,J8P 1C2,61000175,SD Ottawa,93000217,93000045,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000281,ARM317,75053609,75053609,642052,CAISSE DESJARDINS DES COLLINES-DE-L'OUTA,41023160,CAISSE DESJARDINS DES COLLINES-DE-L#OUTA,88 RUE PRINCIPALE EST,,MASHAM,QC,J0X 2W0,61000175,SD Ottawa,93000045,93000216,,,,0,0,0
200000285,MX4501N,65028888,65028888,642103,E. SEGUIN ET FILS,41023164,E. SEGUIN ET FILS,845 BOUL DE LA CARRIÈRE,,HULL,QC,J8Y 6S5,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000294,ARM355N,5502983Y,5502983Y,642048,BOLESS INC.,41023171,BOLESS INC,15 RUE BUTEAU # 220,,GATINEAU,QC,J8Z 1V4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000295,ARM317,85039791,85039791,642179,MORIN ISOLATION & TOITURE,41023172,MORIN ISOLATION & TOITURE,55 RUE BREADNER,,GATINEAU,QC,J8Y 2L7,61000175,SD Ottawa,93000216,93000217,,,,0,0,0
200000297,AR208D,85023160,85023160,642064,CENTRE CHIROPPRATIQUE,41023174,CENTRE CHIROPPRATIQUE,193 DE LA SAVANE,,GATINEAU,QC,J8T 1R2,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000299,AR168D,75054453,75054453,642098,DR. LOUIS LESSARD,41023176,DR. LOUIS LESSARD,325 BLV GREBER,,GATINEAU,QC,J8T 8J3,61000175,SD Ottawa,93000217,93000045,EICHELBF,CLAUDE EICHELBRENNER  - FREDAL,,0,0,0
200000300,ARM207,7306873Y,7306873Y,642137,7666837 CANADA INC.,41023177,851 1748 CANADA INC.,55 RUE DE BRITANNIA #1,,GATINEAU,QC,J9J 1N4,61000175,SD Ottawa,93000217,93000217,,,,0,0,0
200000320,MXM620N,95000668,95000668,642088,COOPERATIVE DES PARAMEDICS,41023201,STÉPHANE PARENT,505 BOUL DES AFFAIRES,,GATINEAU,QC,J8R 0B2,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000331,MXC311,9212455X,200000331,642439,COLORTEX SCREEN PRINTING,41023232,COLORTEX SCREEN PRINTING,5369 CANOTEK RD.  #1A,,OTTAWA,ON,K1J 9J3,61000175,SD Ottawa,93000043,93000044,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000384,AR168S,45105324,45105324,642062,CENTRE ADMINISTRATION SECRETAIRE,41023294,CENTRE ADMINISTRATION SECRÉTAR,183 RUE BROADWAY OUEST,,GATINEAU,QC,J8P 3T6,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000390,AR168S,65088963,65088963,642140,LABORATOIRE POULIOT INC.,41023300,LABORATOIRE POULIOT INC.,430 BOUL. DE L#HOPITAL,,GATINEAU,QC,J8V 1T7,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000400,MXM363N,95010405,95010405,676320,"9140280 CANADA INC., BRIDGEPORT",41023310,9140280 CANADA INC - BRIDGEPORT (RESOT),277 BOUL. ST-JOSEPH # 200,,GATINEAU,QC,J8Y 3Y2,61000175,SD Ottawa,93000216,93000217,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000401,ARM450U,45023328,45023328,642161,LETELLIER GOSSELIN AVOCATS,41023312,LETELLIER GOSSELIN AVOCATS,139 BOUL L'HOPITAL #127,,GATINEAU,QC,J8T 8A3,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000407,ARM455N,55029734,55029734,642233,STO,41023317,STO,"10 RUE NOEL, # 100-A",,GATINEAU,QC,J8Z 3G5,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000414,ARM550N,55014108,55014108,642119,GAGNE ISABELLE PATRY LAFLAMME,41023325,GAGNÉ ISABELLE PATRY LAFLAMME,188  MONTCALM SUITE 300,,GATINEAU,QC,J8Y 3B5,61000175,SD Ottawa,93000216,93000217,,,,0,0,0
200000417,MXM620N,6501058Y,6501058Y,642232,STO,41023328,STO,111 RUE JEAN PROULX,REGULATION,GATINEAU (HULL ),QC,J8Z 1T4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000429,MX2700N,85041275,85041275,642040,AUBERGE & SPA NORDIK INC.,41023340,AUBERGE & SPA NORDIK INC.,16  CHEMIN NORDIK,,GATINEAU,QC,J9B 2P7,61000175,SD Ottawa,93000045,93000217,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000436,MX4101N,05087890,508789,642232,STO,41023348,STO,111 RUE JEAN PROULX,,GATINEAU,QC,J8Z 1T4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000437,SCX5935FN,Z2P3BAKZ500168,73082492,642026,3005526 CANADA INC,41023349,3005526 CANADA INC,72 RUE LAVAL #100,,GATINEAU,QC,J8X 3H3,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000438,MX3501N,75063037,75063037,642042,BARETTE ET BERNARD COMBUSTION,41023350,BARETTE ET BERNARD COMBUSTION,36 RUE DE VARENNES,UNITÉE #5,GATINEAU,QC,J8T 0B6,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000442,MX3100N,85059078,85059078,642095,DEVELOPPEMENT ECONOMIQUE,41023353,DÉVELOPPEMENT ÉCONOMIQUE,25 RUE LAURIER BUREAU 700,,GATINEAU,QC,J8X 4C8,61000175,SD Ottawa,93000045,93000217,,,,0,0,0
200000446,MX2700N,7507386X,7507386X,642529,MARSHES GOLF CLUB,41023357,MARSHES GOLF CLUB,320 TERRY FOX AVE.,,KANATA,ON,K2K 3L1,61000175,SD Ottawa,93000275,93000043,,,,0,0,0
200000447,MX2700N,75029272,75029272,668775,PIERRE BROCHU CPA INC,41023359,PIERRE BROCHU CPA INC,711 BOUL ST JOSEPH,,GATINEAU,QC,J8Y 4B4,61000175,SD Ottawa,93000216,93000217,,,,0,0,0
200000449,MX2700N,65020150,65020150,642037,ANDRE DUROCHER,41023361,ANDRÉ DUROCHER,40 RUE PRINCIPALE,,GATINEAU,QC,J9J 3L1,61000175,SD Ottawa,93000216,93000217,,,,0,0,0
200000471,MXC311,92113577,92113577,642040,AUBERGE & SPA NORDIK INC.,41023400,AUBERGE & SPA NORDIK INC.,16  CHEMIN NORDIK,,CHELSEA,QC,J9B 2P7,61000175,SD Ottawa,93000045,93000217,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000489,SCX6345N,8Z61B1DQ400124,8Z61B1DQ400124,642204,PISCIDELLE INC,41023416,PISCIDELLE INC,550 BOUL LA GAPPE,,GATINEAU,QC,J8T 8A8,61000175,SD Ottawa,93000217,93000045,RIVARDN,NORMAND RIVARD,,0,0,0
200000490,SCX5935FN,Z2P3BAKZ700018H,Z2P3BAKZ700018H,642197,OUTAOUAIS ELECTRIQUE INC,41023417,OUTAOUAIS ELECTRIQUE INC,299 DE CASTILLON,,GATINEAU,QC,J8M 1X8,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000492,SCX6345N,8Z61B1DQ400125,8Z61B1DQ400125,642109,ENTREPRISES MEDICALES GATINEAU,41023420,ENTREPRISES MÉDICALES GATINEAU,131 BOULEVARD GREBER,,GATINEAU,QC,J8T 3R1,61000175,SD Ottawa,93000217,93000045,,,,0,0,0
200000501,MX2700N,85041295,85041295,642040,AUBERGE & SPA NORDIK INC.,41023429,AUBERGE & SPA NORDIK INC.,144 OLD CHELSEA,,CHELSEA,QC,J9B 1J3,61000175,SD Ottawa,93000045,93000217,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000527,MXB401,92117369,92117369,642707,SERVICES DE BUREAU COSEB INC. O/A LES,41023447,SERVICE DE BUREAU COSEB,851 ST-RENEE OUEST,,GATINEAU,QC,J8T 7X1,61000175,SD Ottawa,93000217,93000216,,,,0,0,0
200000529,MX4101N,85065680,85065680,642708,SOCIETE DE TRANSPORT DE L'OUTAOUAIS,41023449,SOCIETE DE TRANSPORT,111 RUE JEAN-PROULX,,GATINEAU,QC,J8Z 1T4,61000175,SD Ottawa,93000217,93000216,BOUCHARC,CLERMONT BOUCHARD,,0,0,0
200000530,CLX6200FX,9G61B1Q500079,9G61B1Q500079,642527,"ELGIN MASSAGE THERAPY, ACUPUNCTURE,",41023450,ELGIN MASSAGE THERAPY CLINIC,167 LISGAR STREET,,OTTAWA,QC,K2P 0C3,61000175,SD Ottawa,93000216,93000044,,,,0,0,0
