GroupName,GroupDescription,GroupColor,TargetAMV,CounterKey,TargetMREQ,TargetTA,TargetCA,TargetAA,TargetDRC,TargetDVC,TargetDK,TargetDC,TargetDM,TargetDY,TargetVK,TargetVC,TargetVM,TargetVY,TargetMC,TargetTK,TargetTK1,TargetTK2,TargetTK3,TargetTK4,TargetFK,TargetFK1,TargetFK2,TargetFK3,TargetFK4,TargetSPF,TargetPPF,TargetINK,TargetWST,TargetOTHR
AR168,AR150/168 and similar,FALSE,2000,262242,24000,,,,24000,24000,,,,,,,,,,,,,,,120000,,,,,0,0,0,0,0
AR205,AR160/161/200/205,FALSE,4000,262242,15000,,,,30000,15000,,,,,,,,,,,,,,,120000,,,,,0,0,0,0,0
AR207,AR162/163/207,FALSE,4000,262242,30000,,,,30000,30000,,,,,,,,,,,,,,,120000,,,,,0,0,0,0,0
AR208,AR208,FALSE,3000,262242,25000,,,,25000,25000,,,,,,,,,,,,,,,120000,,,,,0,0,0,0,0
AR235,AR235/275,FALSE,6000,262242,50000,,,,50000,50000,,,,,,,,,,,,,,,150000,,,,,0,0,0,0,0
AR507,Cougar series,FALSE,10000,262242,50000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
AR651,SharpShiba series,FALSE,20000,262242,50000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ARBC320,ARBC260/320,TRUE,8300,296860,,50000,50000,,,,50000,50000,50000,50000,,,,,,100000,,,,,100000,,,,,0,0,0,0,0
ARC150,ARC150/160/250/270/330,TRUE,7500,327552,,,,,,,80000,40000,40000,40000,80000,40000,40000,40000,,160000,,,,,40000,,,,,0,0,0,0,0
ARC240,ARC240P,FALSE,4000,0,50000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ARM205,ARM160/205,FALSE,4000,262242,50000,,,,50000,50000,,,,,,,,,,,,,,,120000,,,,,0,0,0,0,0
ARM207,ARM162/207/207E,FALSE,4000,262242,50000,,,,50000,50000,,,,,,,,,,,,,,,120000,,,,,0,0,0,0,0
ARM237,ARM237/277,FALSE,8000,295010,75000,,,,75000,75000,,,,,,,,,,150000,,,,,150000,,,,,0,0,0,0,0
ARM257,ARM257/317,FALSE,8000,295010,75000,,,,75000,75000,,,,,,,,,,150000,,,,,150000,,,,,0,0,0,0,0
ARM450,ARM350/450,FALSE,16500,262242,100000,,,,100000,100000,,,,,,,,,,,,,,,200000,,,,,0,0,0,0,0
ARM455,ARM355/455,FALSE,16500,262242,100000,,,,200000,100000,,,,,,,,,,,,,,,200000,,,,,0,0,0,0,0
ARM550,ARM550,FALSE,41500,295010,250000,,,,250000,250000,,,,,,,,,,250000,,,,,250000,,,,,0,0,0,0,0
ARM620,ARM620/700,FALSE,41500,295010,300000,,,,300000,300000,,,,,,,,,,300000,,,,,300000,,,,,0,0,0,0,0
DXB350,DXB Printers,FALSE,4000,0,25000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
DXC310,MXC310/311/400/401,TRUE,6000,,,999000,999000,,,,60000,30000,30000,30000,60000,30000,30000,30000,,,120000,60000,,,120000,,,,,,,,,
FOFAX,FO Faxes,FALSE,1200,0,10000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
MX2310,Gemini series (MX2310),TRUE,15000,0,,100000,60000,,,,100000,60000,60000,60000,100000,60000,60000,60000,,,100000,300000,,,,100000,200000,,,0,0,0,0,0
