Model,Group
0,OTHERS
28C0050,OTHERS
28C0550,OTHERS
28D0050,OTHERS
28D0550,OTHERS
35S0060,OTHERS
35S0260,OTHERS
35S5700,OTHERS
35S5701,OTHERS
35S5703,OTHERS
35S5705,OTHERS
35S6700,OTHERS
35S6701,OTHERS
AR153EN,AR168
AR162,AR207
AR168D,AR168
AR168S,AR168
AR208D,AR208
AR208S,AR208
AR235,AR235
AR237,ARM237
AR405,AR507
ARM160,ARM205
ARM162,ARM207
ARM205,ARM205
ARM207,ARM207
ARM207E,ARM207
ARM208D,AR208
ARM237,ARM237
ARM257,ARM257
ARM277,ARM237
ARM317,ARM257
ARM350,ARM450
ARM350N,ARM450
ARM350NX,ARM450
ARM350U,ARM450
ARM355N,ARM455
ARM355U,ARM455
ARM450,ARM450
ARM450N,ARM450
ARM450NX,ARM450
ARM450U,ARM450
ARM455N,ARM455
ARM455U,ARM455
ARM550N,ARM550
ARM550U,ARM550
ARM620N,ARM620
ARM620U,ARM620
ARM700N,ARM620
ARP350,ARM450
ARP450,ARM450
C748DTE,OTHERS
CANIR3300,OTHERS
CANIR5065,OTHERS
CANIRC4080,OTHERS
CLX6200FX,OTHERS
DXB350P,DXB350
DXB450P,DXB350
DXC310,DXC310
EKC8453508,OTHERS
F02080,AR208
FO2080,AR208
FO2081,AR208
FO4470,FOFAX
FODC525,FOFAX
FODC535,FOFAX
FODC635,FOFAX
FOIS125N,FOFAX
FP-1500PLUS,OTHERS
FPCITD,OTHERS
FPI2325,OTHERS
FPI600,OTHERS
FPMMI,OTHERS
FPMMI36,OTHERS
FPMMI60,OTHERS
FPOMSI,OTHERS
FPOMSI36,OTHERS
FPOMSI48,OTHERS
FPOMSI60,OTHERS
FPOMSI66,OTHERS
FPP45IS,OTHERS
FPP65IA,OTHERS
FPP85IA,OTHERS
FPUAI120S,OTHERS
FTPP45IA,OTHERS
HPCF286A,OTHERS
HPCF389A,OTHERS
HPCLJ4730,OTHERS
HPCLJ5550N,OTHERS
HPCLJCM3530,OTHERS
HPCLJCM6030F,OTHERS
HPCLJCM6040MFP,OTHERS
HPCLJCP2025N,OTHERS
HPCLJCP3525N,OTHERS
HPCLJCP5225N,OTHERS
HPLASEJET400M401DN,OTHERS
HPLASERJET1022N,OTHERS
HPLASERJET1200,OTHERS
HPLASERJET1300N,OTHERS
HPLASERJET1320N,OTHERS
HPLASERJET2200,OTHERS
HPLASERJET2300,OTHERS
HPLASERJET2420,OTHERS
HPLASERJET3030,OTHERS
HPLASERJET4000,OTHERS
HPLASERJET400MFPDN,OTHERS
HPLASERJET4050,OTHERS
HPLASERJET4100,OTHERS
HPLASERJET4200,OTHERS
HPLASERJET4250,OTHERS
HPLASERJET4P,OTHERS
HPLASERJET5000,OTHERS
HPLASERJET5100,OTHERS
HPLASERJET5200,OTHERS
HPLASERJET5P,OTHERS
HPLASERJET6P,OTHERS
HPLASERJET8000,OTHERS
HPLASERJET8100,OTHERS
HPLASERJET8150,OTHERS
HPLASERJET9000,OTHERS
HPLASERJET9050,OTHERS
HPLASERJETEM4555,OTHERS
HPLASERJETM1536DNF,OTHERS
HPLASERJETM5035,OTHERS
HPLASERJETP1606DN,OTHERS
HPLASERJETP2015,OTHERS
HPLASERJETP2015N,OTHERS
HPLASERJETP2035,OTHERS
HPLASERJETP2055DN,OTHERS
HPLASERJETP3005N,OTHERS
HPLASERJETP3010,OTHERS
HPLASERJETP4014,OTHERS
HPLASERJETP4015N,OTHERS
HPLASTERJETM3035,OTHERS
HPLJP2035N,OTHERS
HPLJP2300N,OTHERS
HPLJP400M451NW,OTHERS
HPLJP4250N,OTHERS
HPLJPCP1025NW,OTHERS
HPLJPE700CM775DN,OTHERS
HPLJPE700M712N,OTHERS
HPLJPENTM605DN,OTHERS
HPLJPM602N,OTHERS
