"ID","MaintCode","Description","ColorClass"
1,"MREQ","Maintenance Counter","BW"
2,"TA","Maintenance Counter: Total","ALL"
3,"CA","Maintenance Counter: Color","COLOR"
4,"AA","Maintenance Counter: All","ALL"
5,"DRC","Drum Counter","BW"
6,"DVC","Developer Counter","BW"
7,"DK","Drum Counter: Black","ALL"
8,"DC","Drum Counter: Cyan","COLOR"
9,"DM","Drum Counter: Magenta","COLOR"
10,"MC","Main Charger","BW"
11,"DY","Drum Counter: Yellow","COLOR"
12,"VK","Developer Counter: Black","ALL"
13,"VC","Developer Counter: Cyan","COLOR"
14,"VM","Developer Counter: Magenta","COLOR"
15,"VY","Developer Counter: Yellow","COLOR"
16,"TK","Transfer Belt Counter","ALL"
17,"TK1","Primary Transfer Belt","ALL"
18,"TK2","Secondary Transfer Belt","ALL"
19,"TK3","PTC Counter","ALL"
20,"TK4","Transfer CL Roller","ALL"
21,"FK","Fusing Unit Counter","ALL"
22,"FK1","Upper Heat Roller","ALL"
23,"FK2","Lower Heat Roller","ALL"
24,"FK3","Fuser Web Counter","ALL"
25,"FK4","Fuser Web Counter (lower)","ALL"
26,"SPF","Document Feeder","ALL"
27,"PPF","Paper Feed (Rollers)","ALL"
28,"INK","Toner Cartridge","ALL"
29,"WST","Waste Container","ALL"
30,"OTHR","Other (PM) Sections","ALL"
31,"PS","PS Unit Cleanner","ALL"
32,"TK3","PTC Counter","ALL"
