crm_objectid,model,serialnumber,jt_equipid,soldtoid,soldtoname,addcontactid,addcontactname,address1,address2,city,province,postalcode,dealerid,dealername,serviceorgid,serviceorg,primarytechid,backuptechid,accountmgrid,accountmgr,inactive,nocontract,nopm
200000033,ARM205,35027548,7589,146912,MICRON ELECTRONICS INC.,41022803,MICRON ELECTRONICS,"2679 BRISTOL CIRCLE, # 6",,OAKVILLE,ON ,L6H 6Z8   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000040,93001092,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,0,0
200000034,MXM450N,75069179R,83760,628116,FPI COMINAR,41022805,PFI COMINAR,"9 PLACE DU COMMERCE, ""D""",,BROSSARD,QC ,J4W 2V6   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000773,GALERN,NANCY GALER,0,0,0
200000093,MX4101N,15080092,84677,639716,INSTITUT NATIONAL DE LA,41022954,INSTITUT NATIONAL DE LA RECHERCHE,1650 LIONEL - BOULET,,VARENNES,QC ,J3X 1S2   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000213,93000183,THERRIEH,HUGO THERRIEN,0,0,0
200000536,MXC311,9212454X,9212454X,642177,MILIDENT INC.,41023456,MILIDENT INC,165 BOUL. DE LA TECHNOLOGIE,,GATINEAU,QC ,J8Z 3H8   ,144633,SHARP DIRECT - OTTAWA,61000175,OTT_ALL,93000045,93000217,BOUCHARC,CLERMONT BOUCHARD,0,1,1
200000561,AR168D,75023008,76275,640255,9021-8595 QUEBEC INC.,41023507,9021-8595 QUEBEC INC,720 MONTGOLFIER,,LAVAL,QC ,H7W 4Z2   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000049,93000050,ACQUARIOS,SALVATORE ACQUARIO,0,0,0
200000590,MX2610N,0507137X,84409,275863,AREA COMMUNICATIONS INC.,41023553,AREA COMMUNICATIONS INC.,"1 HURONTARIO ST., # 220",,MISSISSAUGA,ON ,L5G 0A3   ,147570,SHARP DIRECT CTO,61000193,GTA West,93001092,93000040,GALERN,NANCY GALER,0,1,1
200000599,MXM450N,75036503,72549,744345,LES ALIMENTS DAINTY FOODS INC.,41023624,LES ALIMENTS DAINTY FOODS INC.,"2 PLACE ALEXIS NIHON, # 1777",,WESTMOUNT,QC ,H3Z 3C1   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000051,ACQUARIOS,SALVATORE ACQUARIO,0,0,0
200000652,MXC311,92112836,,164461,SECL BSD HO SHOWROOM,41029593,SHARP ELECTRONICS,335 BRITANNIA ROAD E,CATALOGUE,MISSISSAUGA,ON ,L4Z 1W9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000017,93000195,ISHOUSE,INTEGRATED SERVICES HOUSE REP,0,0,0
200000654,ARM355N,55033952RC,73094618,276129,NIAGARA CATHOLIC DIST. SCHOOL BOARD,41029666,NCDSB - MOTHER TERESA ELEMENTARY SCHOOL,125 FIRST STREET,MOTHER TERESA,ST CATHERINES,ON ,L2R 6P9   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000382,93000381,GOWERM,MICHAEL GOWER,0,0,0
200000668,MXM363N,95031784,,146179,EQUIPEMENT BUREAU DEMERS INC.,41030432,Cité de la Culture et du Sport de Laval,4 Place Ville Marie,(bureau dans la tour),Montreal,QC ,H3B 2B6   ,617422,SHARP DIRECT - MONTREAL,61000174,MTL_ALL,93000183,93000773,,,0,1,1
200000671,MXC311,80007720,55538,610417,MC MASTER UNIVERSITY,41031092,MC MASTER UNIVERSITY,1280 MAIN STREET WEST,KTH 618,HAMILTON,ON ,L8S 4M4   ,147570,SHARP DIRECT CTO,61000193,GTA West,93000038,93000894,HADDRELN,NATALIE HADDRELL,0,0,0
